"","PRCP","Year","Month","Day","rain","daynum","mP","sdP","detP","detP2"
"258",1.02,1965,11,3,2,307,1.444,0.985332431212938,-0.424,1.041
"259",1.01,1965,11,11,2,315,1.08444444444444,0.284214316630563,-0.0744444444444445,1.39055555555556
"260",1.29,1965,11,12,2,316,1.095,0.272658865879797,0.195,1.66
"261",0.8,1965,12,23,2,357,1.1975,0.836057926906298,-0.3975,1.0675
"262",0.88,1965,12,24,2,358,1.07,0.501477816059694,-0.19,1.275
"263",1.32,1965,12,27,2,361,1.3175,0.476767388625882,0.00250000000000017,1.4675
"264",1.32,1965,12,28,2,362,1.14166666666667,0.481131872554582,0.178333333333333,1.64333333333333
"265",0.92,1965,12,30,2,364,1.50777777777778,0.630273309322586,-0.587777777777778,0.877222222222222
"266",0.81,1966,1,1,2,1,1.08,0.360924738230378,-0.27,1.195
"267",1.53,1966,1,2,2,2,1.124,0.265198039208438,0.406,1.871
"268",3.87,1966,1,3,2,3,1.6,1.10866285828169,2.27,3.735
"269",2.16,1966,1,5,2,5,1.53333333333333,0.904359810399968,0.626666666666667,2.09166666666667
"270",1.18,1966,3,9,2,68,1.036,0.267357438647216,0.144,1.609
"271",0.8,1966,3,20,2,79,0.82,0.0282842712474618,-0.02,1.445
"272",1.12,1966,11,10,2,314,1.11166666666667,0.500736124786965,0.00833333333333353,1.47333333333333
"273",1.94,1966,11,13,2,317,1.26,0.468792775826022,0.68,2.145
"274",1.08,1966,11,14,2,318,1.114,0.221201265819163,-0.034,1.431
"275",1.61,1966,11,15,2,319,1.715,1.04916633571612,-0.105,1.36
"276",1.16,1966,11,19,2,323,1.7,1.13663245305302,-0.54,0.925
"277",2.5,1966,12,4,2,338,1.40545454545455,0.824455743340583,1.09454545454545,2.55954545454545
"278",0.82,1966,12,6,2,340,1.23666666666667,0.46473110504893,-0.416666666666667,1.04833333333333
"279",1.32,1966,12,7,2,341,1.11555555555556,0.322688360152296,0.204444444444444,1.66944444444444
"280",2.14,1967,1,19,2,19,1.52125,1.00387018938848,0.61875,2.08375
"281",1.08,1967,1,20,2,20,1.518,1.05808842310608,-0.438,1.027
